field_id,vh31,vv31
4405542,-16.349718349108944,-5.48261364939202
4405512,-17.768797782995435,-7.220396760781334
4400729,-21.221386050321254,-12.412631632529708
2723788,-21.39281598909506,-11.953616494251522
2723789,-20.202440105371316,-11.516884314962248
2716605,-23.45865648338378,-13.897445571974094
2714956,-19.376211401328558,-12.73016816537723
2722509,-21.291770905067718,-11.192636636252622
2723792,-21.13970626785994,-10.880858266047708
2722698,-21.20194382308764,-12.827888692282679
2722699,-21.94229027984376,-13.280674519179037
2722700,-22.01555213408473,-13.020787298907589
2722702,-21.24899808517159,-12.689333230879768
2725352,-20.475849479384504,-10.095195912152338
2723730,-19.897046468234443,-11.015341805069639
2724430,-22.88018306086426,-13.605175025699353
2725354,-19.580570824915252,-10.986692900888857
2701301,-21.849371330978933,-12.89064075713634
2725357,-23.294576301751015,-14.73251457822183
2701531,-22.08119119705685,-11.921125674409398
2701578,-21.397133387238167,-12.312737320220421
2700885,-23.21747323598737,-14.771574303420433
2716341,-24.165653713435596,-14.821382656175771
2700718,-21.734360867279054,-12.070984502388656
2700533,-19.459232629630474,-12.428215899075278
2700107,-21.91396411174741,-13.181560235952743
2715531,-22.87984130986113,-13.77132159366861
2715519,-19.553060835691998,-10.11064186658496
2725362,-21.135009521851345,-12.585291710746416
2725363,-21.624783202383135,-11.670786902730303
2715257,-19.723556720918197,-13.124648179012102
2725365,-23.154069923448112,-15.218071833267901
2716527,-21.72408036145962,-12.621830887798573
2713245,-22.101603755730583,-13.492965481716844
2723811,-21.860483940195717,-11.265319577751345
2713020,-22.88756072805914,-13.446026296727789
2712849,-20.583377948523058,-12.135608590503608
2712741,-21.485653559233853,-12.068301654209643
2725373,-21.43360307993949,-11.753030444047758
2712255,-21.58193897733857,-11.917019489141605
2725376,-22.878009406439034,-13.740316877030878
2725377,-20.598612310354227,-12.379009484542461
2725378,-22.477617144087052,-13.132919131911224
2725380,-23.753461153855614,-15.062487480763625
2711350,-23.773355467724116,-15.091255198716416
2710853,-21.08826849275421,-12.019248619732997
2725384,-21.239329333910728,-11.630255352415036
2710485,-23.500977614463594,-13.968598198630547
2721846,-21.714802809165434,-11.645565151717193
2708952,-21.969345856953986,-13.784459517184903
2716794,-18.70857866101885,-9.158475131262827
2701089,-20.83723525550088,-12.562740423385806
2717046,-21.775896896343653,-13.009553159040557
2701633,-21.05143003723914,-11.021159179492058
2721870,-23.102156812945307,-12.980990779234576
2714531,-21.327117678242203,-12.676833222357761
2714517,-21.76502273267218,-12.591440235475053
2721888,-18.58853842453744,-11.267813009454231
2721889,-18.64558047759551,-10.376363261262975
2725392,-23.97803165555382,-15.544313584151945
2723821,-19.070969793355026,-11.672383177740056
2724509,-21.41937940435577,-13.037395098472874
2721920,-22.421079818546318,-13.009378230655898
2713637,-22.84109684194474,-13.42141041447243
2722153,-23.589370668677883,-14.128651525056316
2722154,-23.351686825933324,-13.376700967765835
2725394,-19.22588208793452,-11.763215297842605
2723564,-22.26195337521538,-13.562612006311042
2716268,-22.794726984018673,-13.550227648166294
2701233,-19.91216522474779,-10.931878076422807
2716288,-21.526787583959095,-8.73941250487916
2725397,-23.151928137349852,-13.911450575076596
2716297,-22.17650567482297,-12.995887746010801
2716298,-18.850413957983513,-9.086616655521244
2725398,-20.600299136083276,-11.782868718550215
2725400,-20.806831456523515,-12.506156029669825
2701624,-21.45948671267618,-11.104505581410738
2701640,-20.16163897446824,-12.306116471157265
2722251,-19.86216524785661,-11.152674942020878
2716346,-20.794155573269325,-13.15248103428494
2700772,-18.470900923180803,-10.322170251337615
2717233,-18.814927980642388,-10.435002293086812
2716357,-20.46973936962814,-12.092229863256161
2700543,-22.195292680292084,-13.749825643339818
2700464,-22.048315403936353,-13.050264239302642
2700459,-20.706017890153074,-11.909664449189048
2716366,-21.051361191209903,-11.672695481031797
2700356,-22.81208863836155,-13.801029117965523
2700201,-21.3419929141857,-13.326475908094109
2723831,-20.033595607457688,-10.789220683573104
2717244,-19.288105081538617,-12.20290347183038
