15_Mar_only,15_Mar_only_n,20_31_Mar,20_31_Mar_n,20_Mar_only,20_Mar_only_n,25_Mar_only,25_Mar_only_n,pre,pre_n,unit_id
,0.0,0.6449468518182072,2.0,,0.0,0.6449468518182072,2.0,0.5950710370312718,6.0,4400862
0.3970901294515608,0.8470363939672487,0.5090245950225261,4.0,0.5067130171795672,2.0,0.5097485193177052,2.0,0.47361331811179874,6.0,4400865
0.23365609891075306,0.6784832128807978,0.328131776945462,4.0034306101912005,0.3305372728283469,2.0,0.3254505632670657,2.0,0.3457641688187174,6.837526301344802,4400880
,0.0,0.3050237095287745,3.0,0.3036295217208179,1.0,0.35081302210881277,1.0,0.26335191220259857,3.0,4405407
,0.0,0.4526943456716615,4.0,0.4838128849035339,2.0,0.42397898839651216,2.0,0.4633978505343352,8.0,4400894
0.35419680151385435,0.6354917907012428,0.43967508819844253,4.0,0.445584092240621,2.0,0.4340276280388028,2.0,0.4725450655322271,6.0,4400917
,0.0,0.3038071790390332,4.0,0.308791054553331,2.0,0.2996202647817539,2.0,0.290057160362677,6.0,4405143
,0.0,0.43826723020052977,4.0,0.4591148896672371,2.0,0.4230952926765103,2.0,0.45944755249743313,8.0,4400934
,0.0,0.4568287881292851,4.0,0.46841822655919174,2.0,0.45090670328404486,2.0,0.4895686267630878,8.0,4400967
,0.0,0.17595781728477677,4.0,0.1830547913975671,2.0,0.17094397276163012,2.0,0.14087035893545105,7.027671937511908,4400977
,0.0,0.3530028375952995,4.0,0.3534792772178548,2.0,0.3525892783986713,2.0,0.3590598904539855,6.0,4404463
0.20676072073850044,1.0,0.2295906200326795,2.0139532232826607,0.2192591304691937,1.0,0.24048401184753065,1.0,0.1829024261795884,3.0,4404313
,0.0,0.619408306019597,4.0,0.6325163011713444,2.0,0.6137688329224718,2.0,0.6168232969409378,6.0,4401013
,0.0,0.3327953713855017,2.0132910309747514,0.3996768732182749,0.01329103097475091,0.33300425557147395,2.0,0.2613941257445294,5.998353951967672,4401027
,0.0,0.15345500887143387,2.0,0.1322851408718027,1.0,0.17462487729615211,1.0,0.11608807519827584,3.0,4401034
,0.0,0.6599881384941809,6.0,0.6832400707787226,2.0,0.6543636072605729,2.0,0.6470035286556021,8.0,4401046
,0.0,0.4484878458639591,4.0,0.46820640770725813,2.0,0.43114384819199403,2.0,0.3548965358756342,6.0,4401049
,0.0,0.30220340629435427,4.0,0.2939429532005291,2.0,0.3090410184337999,2.0,0.349660625192631,6.0,4401053
