unit_id,county_geoid,county,col,row,x_3310,y_3310,lon,lat,frac_2022,frac_2023,dwr_t20_main_frac,dwr_t20_any_frac,dwr_dominant_main_crop,both_years
c-608_r564,06053,Monterey,-608,564,-151875.0,-141125.0,-121.703075,36.734532,0.7305193883158708,0.7758269823298303,0.9132638354247332,0.9132638354247332,T20,True
c-595_r564,06053,Monterey,-595,564,-148625.0,-141125.0,-121.666638,36.735051,0.0,0.8061088633702923,0.7191550904371772,0.9784266047499822,T20,False
c-594_r564,06053,Monterey,-594,564,-148375.0,-141125.0,-121.663835,36.735091,0.0,0.7702997272135642,0.0,0.6919088929562748,T30,False
c-590_r564,06053,Monterey,-590,564,-147375.0,-141125.0,-121.652624,36.735248,0.0,0.7320820321256849,1.0,1.0,T20,False
c-581_r564,06053,Monterey,-581,564,-145125.0,-141125.0,-121.627398,36.735598,0.0,0.8761702304244869,0.0,0.0,T30,False
c-580_r564,06053,Monterey,-580,564,-144875.0,-141125.0,-121.624595,36.735637,0.0,0.7593876719424169,0.15741756230393666,0.15741756230393666,T30,False
c-574_r564,06053,Monterey,-574,564,-143375.0,-141125.0,-121.607778,36.735867,0.0,0.6850041881295813,0.9482439218427149,0.9482439218427149,T20,False
c-608_r565,06053,Monterey,-608,565,-151875.0,-141375.0,-121.703025,36.732283,0.6793483077427611,0.6174194097660766,0.44296513585020514,0.8412948630052756,T4,True
c-580_r565,06053,Monterey,-580,565,-144875.0,-141375.0,-121.624547,36.733388,0.0,0.828058175572191,0.0,0.0,T30,False
c-623_r566,06053,Monterey,-623,566,-155625.0,-141625.0,-121.745014,36.72942,0.70766047651975,0.6181520390953293,0.0,0.0,T30,True
c-593_r567,06053,Monterey,-593,567,-148125.0,-141875.0,-121.660885,36.728383,0.0,0.6320269843624121,0.2985142434873916,0.8464503852923579,T4,False
c-597_r569,06053,Monterey,-597,569,-149125.0,-142375.0,-121.671997,36.723727,0.0,0.7479149739628175,0.0,0.0,T4,False
c-596_r569,06053,Monterey,-596,569,-148875.0,-142375.0,-121.669194,36.723767,0.0,0.6269497920487754,0.04669203063621792,0.04669203063621792,T4,False
c-595_r569,06053,Monterey,-595,569,-148625.0,-142375.0,-121.666392,36.723806,0.0,0.6720205452387976,0.6025797111532476,0.6025797111532476,T20,False
c-628_r570,06053,Monterey,-628,570,-156875.0,-142625.0,-121.758819,36.720217,0.030974668487828087,0.6144589786348166,0.0,0.0,T4,False
c-584_r570,06053,Monterey,-584,570,-145875.0,-142625.0,-121.635517,36.721988,0.0,0.7076792014901929,0.0,0.0,T30,False
c-583_r572,06053,Monterey,-583,572,-145625.0,-143125.0,-121.632618,36.717529,0.0,0.6257306712921694,0.0,0.0,T4,False
c-582_r572,06053,Monterey,-582,572,-145375.0,-143125.0,-121.629815,36.717568,0.0,0.7726063376022277,0.0,0.0,T4,False
c-601_r574,06053,Monterey,-601,574,-150125.0,-143625.0,-121.682958,36.712323,0.0,0.6553211083895858,0.023373183659177125,0.023373183659177125,T4,False
c-572_r574,06053,Monterey,-572,574,-142875.0,-143625.0,-121.601698,36.713453,0.027500997510117003,0.683823972562394,0.7128543513152997,0.7128543513152997,T20,False
c-573_r575,06053,Monterey,-573,575,-143125.0,-143875.0,-121.604453,36.711166,0.0,0.6356395405380271,0.8717111825129149,0.8717111825129149,T20,False
